round,draw_date,draw_datetime_used,draw_location_name,station_id,station_name,temp_at_draw,humidity_at_draw,wind_at_draw,pressure_at_draw,snow_at_draw,precip_1h,precip_6h,precip_24h,daily_tavg,daily_tmin,daily_tmax,daily_precip_mm,is_raining,is_snowing,temp_bin,humidity_bin
93,2004-09-11,2004-09-11 20:35:00,MBC Studio,108,Seoul ASOS,16.1,95.0,4.6,1008.5,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
94,2004-09-18,2004-09-18 20:35:00,MBC Studio,108,Seoul ASOS,21.1,78.0,3.3,1002.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
95,2004-09-25,2004-09-25 20:35:00,MBC Studio,108,Seoul ASOS,22.2,62.0,1.6,1012.2,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
96,2004-10-02,2004-10-02 20:35:00,MBC Studio,108,Seoul ASOS,12.6,42.0,3.5,1012.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
97,2004-10-09,2004-10-09 20:35:00,MBC Studio,108,Seoul ASOS,19.3,45.0,1.6,1004.9,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
98,2004-10-16,2004-10-16 20:35:00,MBC Studio,108,Seoul ASOS,15.6,52.0,5.2,1015.9,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
99,2004-10-23,2004-10-23 20:35:00,MBC Studio,108,Seoul ASOS,12.3,33.0,0.7,1018.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
100,2004-10-30,2004-10-30 20:35:00,MBC Studio,108,Seoul ASOS,15.1,50.0,0.0,1011.7,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
101,2004-11-06,2004-11-06 20:35:00,MBC Studio,108,Seoul ASOS,7.5,59.0,1.2,1011.4,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
102,2004-11-13,2004-11-13 20:35:00,MBC Studio,108,Seoul ASOS,5.5,44.0,1.5,1014.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
103,2004-11-20,2004-11-20 20:35:00,MBC Studio,108,Seoul ASOS,5.1,61.0,1.9,1012.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
104,2004-11-27,2004-11-27 20:35:00,MBC Studio,108,Seoul ASOS,8.3,75.0,2.2,1011.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
105,2004-12-04,2004-12-04 20:35:00,MBC Studio,108,Seoul ASOS,8.5,93.0,2.0,993.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
106,2004-12-11,2004-12-11 20:35:00,MBC Studio,108,Seoul ASOS,5.0,40.0,1.4,1018.9,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
107,2004-12-18,2004-12-18 20:35:00,MBC Studio,108,Seoul ASOS,2.7,75.0,1.7,1012.7,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
108,2004-12-25,2004-12-25 20:35:00,MBC Studio,108,Seoul ASOS,-1.0,55.0,4.0,1012.7,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
109,2005-01-01,2005-01-01 20:35:00,MBC Studio,108,Seoul ASOS,-3.5,49.0,1.0,1013.2,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
110,2005-01-08,2005-01-08 20:35:00,MBC Studio,108,Seoul ASOS,-6.4,46.0,4.0,1017.4,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
111,2005-01-15,2005-01-15 20:35:00,MBC Studio,108,Seoul ASOS,-2.5,65.0,3.2,1008.5,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,humid
112,2005-01-22,2005-01-22 20:35:00,MBC Studio,108,Seoul ASOS,-0.1,33.0,0.7,1014.0,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
113,2005-01-29,2005-01-29 20:35:00,MBC Studio,108,Seoul ASOS,-4.3,53.0,3.6,1007.0,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
114,2005-02-05,2005-02-05 20:35:00,MBC Studio,108,Seoul ASOS,-1.3,33.0,3.0,1015.0,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
115,2005-02-12,2005-02-12 20:35:00,MBC Studio,108,Seoul ASOS,-3.5,51.0,2.7,1019.2,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
116,2005-02-19,2005-02-19 20:35:00,MBC Studio,108,Seoul ASOS,-7.3,45.0,5.0,1014.5,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
117,2005-02-26,2005-02-26 20:35:00,MBC Studio,108,Seoul ASOS,-3.9,28.0,3.9,1017.5,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,dry
118,2005-03-05,2005-03-05 20:35:00,MBC Studio,108,Seoul ASOS,-0.8,60.0,3.0,1014.9,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,humid
119,2005-03-12,2005-03-12 20:35:00,MBC Studio,108,Seoul ASOS,-4.0,45.0,3.2,1011.0,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
120,2005-03-19,2005-03-19 20:35:00,MBC Studio,108,Seoul ASOS,4.0,52.0,2.8,1013.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
121,2005-03-26,2005-03-26 20:35:00,MBC Studio,108,Seoul ASOS,7.5,75.0,2.4,1011.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
122,2005-04-02,2005-04-02 20:35:00,MBC Studio,108,Seoul ASOS,9.1,70.0,2.8,1003.7,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
123,2005-04-09,2005-04-09 20:35:00,MBC Studio,108,Seoul ASOS,12.6,93.0,2.8,996.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
124,2005-04-16,2005-04-16 20:35:00,MBC Studio,108,Seoul ASOS,11.3,22.0,1.4,1010.7,-9.0,0.0,0.0,0.0,,,,,False,False,mild,dry
125,2005-04-23,2005-04-23 20:35:00,MBC Studio,108,Seoul ASOS,13.3,40.0,2.6,1009.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
126,2005-04-30,2005-04-30 20:35:00,MBC Studio,108,Seoul ASOS,23.8,67.0,2.4,993.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
127,2005-05-07,2005-05-07 20:35:00,MBC Studio,108,Seoul ASOS,15.1,72.0,0.9,996.9,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
128,2005-05-14,2005-05-14 20:35:00,MBC Studio,108,Seoul ASOS,16.0,71.0,2.6,1004.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
129,2005-05-21,2005-05-21 20:35:00,MBC Studio,108,Seoul ASOS,17.3,41.0,1.5,998.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
130,2005-05-28,2005-05-28 20:35:00,MBC Studio,108,Seoul ASOS,22.7,59.0,1.7,1007.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
131,2005-06-04,2005-06-04 20:35:00,MBC Studio,108,Seoul ASOS,19.8,74.0,1.2,999.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
132,2005-06-11,2005-06-11 20:35:00,MBC Studio,108,Seoul ASOS,19.8,75.0,3.2,991.7,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
133,2005-06-18,2005-06-18 20:35:00,MBC Studio,108,Seoul ASOS,22.3,73.0,3.8,994.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
134,2005-06-25,2005-06-25 20:35:00,MBC Studio,108,Seoul ASOS,24.7,71.0,0.8,996.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
135,2005-07-02,2005-07-02 20:35:00,MBC Studio,108,Seoul ASOS,23.7,93.0,1.5,993.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
136,2005-07-09,2005-07-09 20:35:00,MBC Studio,108,Seoul ASOS,23.2,83.0,1.5,991.4,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
137,2005-07-16,2005-07-16 20:35:00,MBC Studio,108,Seoul ASOS,25.7,78.0,2.4,1003.7,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
138,2005-07-23,2005-07-23 20:35:00,MBC Studio,108,Seoul ASOS,30.2,72.0,1.6,997.2,-9.0,0.0,0.0,0.0,,,,,False,False,hot,humid
139,2005-07-30,2005-07-30 20:35:00,MBC Studio,108,Seoul ASOS,25.7,82.0,2.4,997.2,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
140,2005-08-06,2005-08-06 20:35:00,MBC Studio,108,Seoul ASOS,28.2,70.0,2.8,999.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
141,2005-08-13,2005-08-13 20:35:00,MBC Studio,108,Seoul ASOS,26.7,79.0,2.8,1002.7,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
142,2005-08-20,2005-08-20 20:35:00,MBC Studio,108,Seoul ASOS,23.2,69.0,3.4,997.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
143,2005-08-27,2005-08-27 20:35:00,MBC Studio,108,Seoul ASOS,22.7,77.0,1.1,1002.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
144,2005-09-03,2005-09-03 20:35:00,MBC Studio,108,Seoul ASOS,23.1,67.0,2.8,1004.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
145,2005-09-10,2005-09-10 20:35:00,MBC Studio,108,Seoul ASOS,24.6,78.0,1.7,1005.7,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
146,2005-09-17,2005-09-17 20:35:00,MBC Studio,108,Seoul ASOS,22.2,92.0,1.2,1006.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
147,2005-09-24,2005-09-24 20:35:00,MBC Studio,108,Seoul ASOS,20.7,66.0,4.2,1006.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
148,2005-10-01,2005-10-01 20:35:00,MBC Studio,108,Seoul ASOS,20.3,91.0,1.5,1005.4,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
149,2005-10-08,2005-10-08 20:35:00,MBC Studio,108,Seoul ASOS,16.0,63.0,1.5,1010.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
150,2005-10-15,2005-10-15 20:35:00,MBC Studio,108,Seoul ASOS,15.1,71.0,2.9,1004.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
151,2005-10-22,2005-10-22 20:35:00,MBC Studio,108,Seoul ASOS,7.6,46.0,2.4,1010.0,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
152,2005-10-29,2005-10-29 20:35:00,MBC Studio,108,Seoul ASOS,9.0,67.0,1.2,1007.0,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
153,2005-11-05,2005-11-05 20:35:00,MBC Studio,108,Seoul ASOS,18.2,64.0,2.4,999.5,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
154,2005-11-12,2005-11-12 20:35:00,MBC Studio,108,Seoul ASOS,9.1,41.0,1.9,1013.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
